epoch,loss,lr,val_loss
0,5.462152330437675e-05,1e-04,5.656985376845114e-05
1,3.753391501959413e-05,1e-04,5.241437611402944e-05
2,2.8775288228644058e-05,1e-04,3.4698896342888474e-05
3,2.6085008357767947e-05,1e-04,3.694342012749985e-05
4,2.3166190658230335e-05,1e-04,4.4119253288954496e-05
5,2.175952795369085e-05,1e-04,4.2045972804771736e-05
6,2.11990609386703e-05,1e-04,4.016482489532791e-05
7,1.942525341291912e-05,1e-04,4.668351175496355e-05
8,1.654098196013365e-05,5e-05,3.946081051253714e-05
9,1.552891990286298e-05,5e-05,4.412659473018721e-05
10,1.4110426491242833e-05,5e-05,3.053894033655524e-05
11,1.3400636817095801e-05,5e-05,4.6217242925195023e-05
12,1.28300371216028e-05,5e-05,4.186063597444445e-05
13,1.2350920769677032e-05,5e-05,3.615709283621982e-05
14,1.249487013410544e-05,5e-05,3.4780416171997786e-05
15,1.1607298802118748e-05,5e-05,3.257298158132471e-05
16,1.0554362233961001e-05,2.5e-05,4.885516318609007e-05
17,1.020250692818081e-05,2.5e-05,4.794753476744518e-05
18,1.0122848834726028e-05,2.5e-05,4.088046989636496e-05
19,9.922154276864603e-06,2.5e-05,3.749215102288872e-05
20,9.916969247569796e-06,2.5e-05,4.005133087048307e-05
21,9.763413800101262e-06,2.5e-05,3.9933227526489645e-05
22,9.7468637250131e-06,2.5e-05,4.110595546080731e-05
23,9.300842066295445e-06,1.25e-05,3.4532647987362e-05
24,9.266663255402818e-06,1.25e-05,3.8531907193828374e-05
25,9.228216185874771e-06,1.25e-05,4.122452446608804e-05
26,9.04243643162772e-06,1.25e-05,4.458786497707479e-05
27,9.073836736206431e-06,1.25e-05,4.475405876291916e-05
28,9.11582446860848e-06,1.25e-05,4.080619692103937e-05
29,8.82831955095753e-06,1.25e-05,3.555849616532214e-05
30,8.733751201361883e-06,6.25e-06,3.298386582173407e-05
